Path	Lines of Code
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Status_StatusCode.php	7
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/TraceConfig.php	114
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/TraceIdRatioBased.php	23
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/TracesData.php	23
vendor/thecodingmachine/safe/generated/8.1/apache.php	73
vendor/thecodingmachine/safe/generated/8.1/apcu.php	47
vendor/thecodingmachine/safe/generated/8.1/array.php	67
vendor/thecodingmachine/safe/generated/8.1/bzip2.php	50
vendor/thecodingmachine/safe/generated/8.1/calendar.php	16
vendor/thecodingmachine/safe/generated/8.1/classobj.php	11
vendor/thecodingmachine/safe/generated/8.1/com.php	64
vendor/thecodingmachine/safe/generated/8.1/cubrid.php	523
vendor/thecodingmachine/safe/generated/8.1/curl.php	116
vendor/thecodingmachine/safe/generated/8.1/datetime.php	193
vendor/thecodingmachine/safe/generated/8.1/dir.php	67
vendor/thecodingmachine/safe/generated/8.1/eio.php	364
vendor/thecodingmachine/safe/generated/8.1/errorfunc.php	17
vendor/thecodingmachine/safe/generated/8.1/exec.php	64
vendor/thecodingmachine/safe/generated/8.1/fileinfo.php	33
vendor/thecodingmachine/safe/generated/8.1/filesystem.php	478
vendor/thecodingmachine/safe/generated/8.1/filter.php	21
vendor/thecodingmachine/safe/generated/8.1/fpm.php	11
vendor/thecodingmachine/safe/generated/8.1/ftp.php	213
vendor/thecodingmachine/safe/generated/8.1/funchand.php	15
vendor/thecodingmachine/safe/generated/8.1/functionsList.php	1100
vendor/thecodingmachine/safe/generated/8.1/gettext.php	12
vendor/thecodingmachine/safe/generated/8.1/gmp.php	11
vendor/thecodingmachine/safe/generated/8.1/gnupg.php	71
vendor/thecodingmachine/safe/generated/8.1/hash.php	24
vendor/thecodingmachine/safe/generated/8.1/ibase.php	282
vendor/thecodingmachine/safe/generated/8.1/ibmDb2.php	129
vendor/thecodingmachine/safe/generated/8.1/iconv.php	64
vendor/thecodingmachine/safe/generated/8.1/image.php	820
vendor/thecodingmachine/safe/generated/8.1/imap.php	440
vendor/thecodingmachine/safe/generated/8.1/info.php	181
vendor/thecodingmachine/safe/generated/8.1/inotify.php	20
vendor/thecodingmachine/safe/generated/8.1/json.php	12
vendor/thecodingmachine/safe/generated/8.1/ldap.php	347
vendor/thecodingmachine/safe/generated/8.1/libxml.php	11
vendor/thecodingmachine/safe/generated/8.1/lzf.php	21
vendor/thecodingmachine/safe/generated/8.1/mailparse.php	49
vendor/thecodingmachine/safe/generated/8.1/mbstring.php	235
vendor/thecodingmachine/safe/generated/8.1/misc.php	131
vendor/thecodingmachine/safe/generated/8.1/mysql.php	286
vendor/thecodingmachine/safe/generated/8.1/mysqli.php	12
vendor/thecodingmachine/safe/generated/8.1/network.php	133
vendor/thecodingmachine/safe/generated/8.1/oci8.php	336
vendor/thecodingmachine/safe/generated/8.1/opcache.php	20
vendor/thecodingmachine/safe/generated/8.1/openssl.php	493
vendor/thecodingmachine/safe/generated/8.1/outcontrol.php	76
vendor/thecodingmachine/safe/generated/8.1/pcntl.php	74
vendor/thecodingmachine/safe/generated/8.1/pcre.php	57
vendor/thecodingmachine/safe/generated/8.1/pgsql.php	418
