Metric		Current
UNIT_SIZE_COMPONENT_DATABASE_MEDIUM_RISK_LOC		58
UNIT_SIZE_COMPONENT_DATABASE_MEDIUM_RISK_PERCENTAGE		22.14
UNIT_SIZE_COMPONENT_DATABASE_MEDIUM_RISK_COUNT		2
UNIT_SIZE_COMPONENT_DATABASE_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_DATABASE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_DATABASE_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_DATABASE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_DATABASE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_DATABASE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PUBLIC_NEGLIGIBLE_RISK_LOC		1,846
UNIT_SIZE_COMPONENT_PUBLIC_NEGLIGIBLE_RISK_PERCENTAGE		26.17
UNIT_SIZE_COMPONENT_PUBLIC_NEGLIGIBLE_RISK_COUNT		337
UNIT_SIZE_COMPONENT_PUBLIC_LOW_RISK_LOC		1,608
UNIT_SIZE_COMPONENT_PUBLIC_LOW_RISK_PERCENTAGE		22.8
UNIT_SIZE_COMPONENT_PUBLIC_LOW_RISK_COUNT		113
UNIT_SIZE_COMPONENT_PUBLIC_MEDIUM_RISK_LOC		2,479
UNIT_SIZE_COMPONENT_PUBLIC_MEDIUM_RISK_PERCENTAGE		35.15
UNIT_SIZE_COMPONENT_PUBLIC_MEDIUM_RISK_COUNT		84
UNIT_SIZE_COMPONENT_PUBLIC_HIGH_RISK_LOC		1,019
UNIT_SIZE_COMPONENT_PUBLIC_HIGH_RISK_PERCENTAGE		14.45
UNIT_SIZE_COMPONENT_PUBLIC_HIGH_RISK_COUNT		16
UNIT_SIZE_COMPONENT_PUBLIC_VERY_HIGH_RISK_LOC		101
UNIT_SIZE_COMPONENT_PUBLIC_VERY_HIGH_RISK_PERCENTAGE		1.43
UNIT_SIZE_COMPONENT_PUBLIC_VERY_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_RESOURCES_NEGLIGIBLE_RISK_LOC		9
UNIT_SIZE_COMPONENT_RESOURCES_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_RESOURCES_NEGLIGIBLE_RISK_COUNT		3
UNIT_SIZE_COMPONENT_RESOURCES_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_RESOURCES_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_RESOURCES_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_RESOURCES_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_RESOURCES_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_RESOURCES_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_RESOURCES_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_RESOURCES_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_RESOURCES_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_RESOURCES_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_RESOURCES_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_RESOURCES_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_STORAGE_NEGLIGIBLE_RISK_LOC		18
UNIT_SIZE_COMPONENT_STORAGE_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_STORAGE_NEGLIGIBLE_RISK_COUNT		6
UNIT_SIZE_COMPONENT_STORAGE_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_STORAGE_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_STORAGE_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_STORAGE_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_STORAGE_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_STORAGE_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_STORAGE_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_STORAGE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_STORAGE_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_STORAGE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_STORAGE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_STORAGE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_LOC		11
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_PHP_NEGLIGIBLE_RISK_LOC		309
UNIT_SIZE_EXTENSION_PHP_NEGLIGIBLE_RISK_PERCENTAGE		57.65
UNIT_SIZE_EXTENSION_PHP_NEGLIGIBLE_RISK_COUNT		58
UNIT_SIZE_EXTENSION_PHP_LOW_RISK_LOC		109
UNIT_SIZE_EXTENSION_PHP_LOW_RISK_PERCENTAGE		20.34
UNIT_SIZE_EXTENSION_PHP_LOW_RISK_COUNT		8
UNIT_SIZE_EXTENSION_PHP_MEDIUM_RISK_LOC		118
UNIT_SIZE_EXTENSION_PHP_MEDIUM_RISK_PERCENTAGE		22.01
UNIT_SIZE_EXTENSION_PHP_MEDIUM_RISK_COUNT		4
UNIT_SIZE_EXTENSION_PHP_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_PHP_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_PHP_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_PHP_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_PHP_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_PHP_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		1,846
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		26.13
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		337
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		1,619
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		22.92
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		114
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		2,479
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		35.09
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		84
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		1,019
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		14.43
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		16
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		101
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		1.43
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		4,282
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		56.34
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		513
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		2,147
